KG,KK,Objektbezeichung,Strasse,Stadt,Baujahr,
Albisrieden,9,Kirche ,Ginsterstrasse 48,Zurich,1949,
Albisrieden,9,Pfarrhaus ,Ginsterstrasse 50,Zurich,1929,
Altstetten,9,Baurecht,Glättlistrasse 40,Zurich,,
Fluntern,7+8,Kirche ,Gloriastrasse 98,Zurich,1762,
Wiedikon,3,Kirche,Goldbrunnenstrasse 54,Zurich,1896,
Oberengstringen,10,Kirche,Goldschmiedstrasse 7,Zurich,1984,
Oberengstringen,10,Kirchgemeindehaus,Goldschmiedstrasse 8,Zurich,1951,
Enge,2,Kirchgemeindehaus,Grütlistrasse,Zurich,1923,
Enge,2,Wohnen,Grütlistrasse 14,Zurich,1948,
Enge,2,Wohnen,Grütlistrasse 18,Zurich,1891,
Neumünster,7+8,Wohnen,Hammerstrasse 5,Zurich,1827,
Industriequartier,4+5,Gewerbehaus/Geschäftshaus,Hardturmstrasse 122,Zurich,,
Altstetten,9,Wohnen,Hätzlergasse 30,Zurich,2002,
Wollishofen,2,Kirchgemeindehaus,Hauriweg 19,Zurich,1964,
Altstetten,9,Pfarrhaus ,Herrligstrasse 29,Zurich,1889,
Predigern,1,Gewerbehaus/Geschäftshaus,Hirschengraben 50,Zurich,,
Matthäus,6,Wohnen,Hoffeld 12,Zurich,1953,
Matthäus,6,Kirche ,Hoffeld 2,Zurich,1946,
Höngg,10,Pfarrhaus ,Hohenklingenstrasse 29,Zurich,1929,
Seebach,11,Kirche ,Höhenring 56,Zurich,1947,
Seebach,11,Gewerbehaus/Geschäftshaus,Höhenring 62,Zurich,1956,
Affoltern,11,Gewerbehaus/Geschäftshaus,Holderbachweg 25,Zurich,1961,
Wipkingen,10,Gewerbehaus/Geschäftshaus,Hönggerstrasse 60,Zurich,1930,
Wipkingen,10,Pfarrhaus ,Hönggerstrasse 74,Zurich,1865,
Wipkingen,6,Kirche ,Imfeldstrasse 51,Zurich,1949,
Fraumünster,1,Pfarrhaus ,Kämbelgasse 2,Zurich,1750,
Fluntern,7+8,Pfarrhaus ,Kantstrasse 21,Zurich,1918,
Wollishofen,2,Kirche ,Kilchbergstrasse 13,Zurich,1702,
Wollishofen,2,Kirchgemeindehaus,Kilchbergstrasse 19,Zurich,1923,
Unterstrass,6,Pfarrhaus ,Kinkelstrasse 21,Zurich,1923,
Grossmünster,1,Wohnen,Kirchgasse 13,Zurich,,
Grossmünster,2,Gewerbehaus/Geschäftshaus,Kirchgasse 17,Zurich,1812,
Oberengstringen,10,Gewerbehaus/Geschäftshaus,Lanzrainstrasse 7,Zurich,1993,
Balgrist,7+8,Pfarrhaus ,Lenggstrasse 71,Zurich,1952,
Balgrist,7+8,Kirche ,Lenggstrasse 75,Zurich,1952,
Oerlikon,12,Wohnen,Ligusterstrasse 1,Zurich,1929,
Industriequartier,4+5,Kirche ,Limmatstrasse 112,Zurich,1898,
Altstetten,9,Pfarrhaus ,Loogartenstrasse 24,Zurich,2003,
Wiedikon,3,Wohnen,Meiliweg 22,Zurich,1933,
Paulus,6,Kirche ,Milchbuckstrasse 57,Zurich,1933,
,1,Kirche,Münsterhof,Zurich,1812,
Neumünster,7+8,Kirchgemeindehaus,Neumünsterallee 21,Zurich,1897,
Neumünster,7+8,Kirche ,Neumünsterstrasse 10,Zurich,1838,
Neumünster,7+8,Wohnen,Neumünsterstrasse 12,Zurich,1914,
Oerlikon,12,Pfarrhaus ,Oerlikonerstrasse 95,Zurich,1937,
Oerlikon,12,Kirche ,Oerlikonerstrasse 99,Zurich,1907,
Altstetten,9,Pfarrhaus ,Pfarrhausstrase 10,Zurich,1910,
Altstetten,9,Kirche,Pfarrhausstrasse 17,Zurich,1910,
Altstetten,9,Kirche ,Pfarrhausstrasse 19,Zurich,1939,
Affoltern,11,Pfarrhaus ,Pfarrweg 17,Zurich,1688,
Predigern,1,Kirche ,Predigerplatz 1,Zurich,1240,
Wollishofen,2,Pfarrhaus ,Rainstrasse 62,Zurich,1923,
Altstetten,9,Pfarrhaus ,Rautistrasse 112,Zurich,1950,
Oberengstringen,10,Pfarrhaus ,Rebbergstrasse 62,Zurich,1953,
Oberengstringen,10,Pfarrhaus ,Rebbergstrasse 68,Zurich,1951,
Höngg,10,Wohnen,Regensdorferstrasse 46,Zurich,1931,
